review,label
Very poor customer service.,0
Shipping was late and product was damaged.,0
Superb quality and excellent service.,1
One of the worst purchases I've made.,0
Fast shipping and the item was perfect.,1
"Worked perfectly, just as described.",1
Not worth the money at all.,0
Customer support was amazing.,1
Great value for the price.,1
Customer support was amazing.,1
Broke after first use.,0
Absolutely loved it!,1
Will definitely recommend to others.,1
I'm very satisfied with this purchase.,1
Will not be buying from here again.,0
Superb quality and excellent service.,1
Not worth the money at all.,0
"Five stars, will buy again!",1
Customer support was amazing.,1
"Worked perfectly, just as described.",1
"Worked perfectly, just as described.",1
Will not be buying from here again.,0
Customer support was amazing.,1
Exceeded my expectations.,1
"Five stars, will buy again!",1
Not worth the money at all.,0
Broke after first use.,0
Shipping was late and product was damaged.,0
Very poor customer service.,0
Customer support was amazing.,1
"Terrible quality, avoid at all costs.",0
Great value for the price.,1
I'm very satisfied with this purchase.,1
Shipping was late and product was damaged.,0
Absolutely loved it!,1
Complete waste of money.,0
Complete waste of money.,0
"Five stars, will buy again!",1
Will not be buying from here again.,0
One of the worst purchases I've made.,0
Customer support was amazing.,1
Will not be buying from here again.,0
Very poor customer service.,0
Broke after first use.,0
Broke after first use.,0
Not worth the money at all.,0
Will definitely recommend to others.,1
Not worth the money at all.,0
One of the worst purchases I've made.,0
"Worked perfectly, just as described.",1
"Worked perfectly, just as described.",1
I'm very satisfied with this purchase.,1
One of the worst purchases I've made.,0
"Worked perfectly, just as described.",1
One of the worst purchases I've made.,0
Will not be buying from here again.,0
Great value for the price.,1
Exceeded my expectations.,1
"Worked perfectly, just as described.",1
"Five stars, will buy again!",1
Customer support was amazing.,1
Exceeded my expectations.,1
One of the worst purchases I've made.,0
Shipping was late and product was damaged.,0
Broke after first use.,0
This was a huge disappointment.,0
Very poor customer service.,0
Absolutely loved it!,1
Great value for the price.,1
This was a huge disappointment.,0
"Worked perfectly, just as described.",1
Complete waste of money.,0
Shipping was late and product was damaged.,0
Exceeded my expectations.,1
This was a huge disappointment.,0
Exceeded my expectations.,1
Exceeded my expectations.,1
Shipping was late and product was damaged.,0
Very poor customer service.,0
Will not be buying from here again.,0
Absolutely loved it!,1
Will definitely recommend to others.,1
Didn't match the description.,0
Great value for the price.,1
Very poor customer service.,0
I'm very satisfied with this purchase.,1
Absolutely loved it!,1
I'm very satisfied with this purchase.,1
Superb quality and excellent service.,1
Will definitely recommend to others.,1
Complete waste of money.,0
Exceeded my expectations.,1
I'm very satisfied with this purchase.,1
Superb quality and excellent service.,1
This was a huge disappointment.,0
"Terrible quality, avoid at all costs.",0
I'm very satisfied with this purchase.,1
One of the worst purchases I've made.,0
Will definitely recommend to others.,1
Broke after first use.,0
Will not be buying from here again.,0
Shipping was late and product was damaged.,0
Didn't match the description.,0
I'm very satisfied with this purchase.,1
I'm very satisfied with this purchase.,1
I'm very satisfied with this purchase.,1
Not worth the money at all.,0
Complete waste of money.,0
Not worth the money at all.,0
Exceeded my expectations.,1
Complete waste of money.,0
Complete waste of money.,0
Broke after first use.,0
Broke after first use.,0
Superb quality and excellent service.,1
Shipping was late and product was damaged.,0
This was a huge disappointment.,0
Complete waste of money.,0
Didn't match the description.,0
Will definitely recommend to others.,1
Great value for the price.,1
Exceeded my expectations.,1
Fast shipping and the item was perfect.,1
Broke after first use.,0
Complete waste of money.,0
Not worth the money at all.,0
Complete waste of money.,0
One of the worst purchases I've made.,0
"Worked perfectly, just as described.",1
